2021-05-04T13:54:20.917329 | TWTR | 10 | 20.000000 | SELL | A14
2021-05-04T13:54:20.917329 | AAPL | 10 | 131.000000 | BUY | A14
2021-05-04T20:12:26.544421 | AAPL | 1 | 127.710000 | BUY | A14
2021-05-04T22:12:22.828032500 | SPYD | 100 | 70.000000 | BUY | A15
2021-05-04T23:33:29.029250 | TWTR | 1 | 7.000000 | BUY | A14
2021-05-04T23:43:48.796466 | ONE | 1 | 700.000000 | BUY | A14
2021-05-04T23:44:04.252422 | ONE | 1 | 700.000000 | BUY | A14 
2021-05-04T23:44:27.913515 | TD | 1 | 88.000000 | BUY | A15
2021-05-05T00:50:08.125878 | TD | 1 | 88.000000 | BUY | A13 
2021-05-05T00:50:30.313140 | TD | 1 | 88.000000 | SELL | A13 
2021-05-05T00:50:37.160610 | TD | 1 | 88.000000 | SELL | A14 
2021-05-05T00:50:38.265914 | TD | 1 | 88.000000 | SELL | A15 
2021-05-05T00:50:45.270111 | TD | 1 | 88.000000 | BUY | A15 
2021-05-05T00:51:06.126262 | TD | 1 | 88.000000 | SELL | A15 
2021-05-05T00:59:49.319074 | TD | 1 | 88.000000 | BUY | A16 
2021-05-05T00:59:55.201639 | TD | 1 | 88.000000 | BUY | A15 
2021-05-05T00:59:58.014378 | TD | 1 | 88.000000 | BUY | A15 
2021-05-05T01:08:48.553368 | TD | 1 | 88.000000 | BUY | A15 
2021-05-05T01:09:17.845674 | TD | 1 | 88.000000 | BUY | A18 
2021-05-05T01:09:21.059892 | TD | 1 | 88.000000 | BUY | A18 
