2021/05/02 | 15:44:32 | Twitter | TWTR | 100 | 20.000000 
2021/05/02 | 15:44:32 | Apple | AAPL | 10 | 131.000000 
2021/05/02 | 15:44:32 | Twitter | TWTR | 10 | 20.000000 
2021/05/02 | 16:34:47 | Twitter | TWTR | 100 | 20.000000 
2021/05/02 | 16:34:47 | Apple | AAPL | 10 | 131.000000 
2021/05/02 | 16:34:47 | Twitter | TWTR | 10 | 20.000000 
2021/05/02 | 16:35:22 | Twitter | TWTR | 100 | 20.000000 
2021/05/02 | 16:35:22 | Apple | AAPL | 10 | 131.000000 
2021/05/02 | 16:35:22 | Twitter | TWTR | 10 | 20.000000 
2021/05/02 | 16:48:53 | Twitter | TWTR | 100 | 20.000000 
2021/05/02 | 16:48:53 | Apple | AAPL | 10 | 131.000000 
2021/05/02 | 16:48:53 | Twitter | TWTR | 10 | 20.000000 
