2021/05/03 | 14:53:26 | Twitter | TWTR | 100 | 20.000000 
2021/05/03 | 14:53:26 | Apple | AAPL | 10 | 131.000000 
2021/05/03 | 14:53:26 | Twitter | TWTR | 10 | 20.000000 
2021/05/03 | 14:55:30 | Twitter | TWTR | 100 | 20.000000 
2021/05/03 | 14:55:30 | Apple | AAPL | 10 | 131.000000 
2021/05/03 | 14:55:30 | Twitter | TWTR | 10 | 20.000000 
2021/05/03 | 14:57:40 | Twitter | TWTR | 100 | 20.000000 
2021/05/03 | 14:57:40 | Apple | AAPL | 10 | 131.000000 
2021/05/03 | 14:57:40 | Twitter | TWTR | 10 | 20.000000 
2021/05/03 | 14:58:53 | Twitter | TWTR | 100 | 20.000000 
2021/05/03 | 14:58:53 | Apple | AAPL | 10 | 131.000000 
2021/05/03 | 14:58:53 | Twitter | TWTR | 10 | 20.000000 
2021/05/03 | 15:07:49 | Twitter | TWTR | 100 | 20.000000 
2021/05/03 | 15:07:49 | Apple | AAPL | 10 | 131.000000 
2021/05/03 | 15:07:49 | Twitter | TWTR | 10 | 20.000000 
