2021/04/27 | 19:41:05 | U1 | A12 | Whole Foods | 125.00 | WITHDRAWAL
2021/04/27 | 19:41:05 | U1 | A12 | Target | 60.00 | WITHDRAWAL
2021/04/27 | 19:41:05 | U1 | A12 | Boston University Payroll | 560.00 | DEPOSIT
2021/05/03 | 17:08:22 | U1 | A11 | Transfer to Account A13 | 190.100000 | WITHDRAWAL
2021/05/03 | 17:11:17 | U1 | A11 | ATM Deposit | 11.100000 | DEPOSIT
2021/05/03 | 17:13:22 | U1 | A11 | ATM Withdrawal | 32.000000 | WITHDRAWAL
2021/05/03 | 17:14:05 | U1 | A11 | Transfer to A12 | 9.000000 | WITHDRAWAL
2021/05/03 | 17:14:05 | U1 | A12 | Transfer from A11 | 9.000000 | DEPOSIT
2021/05/03 | 17:16:37 | U1 | A12 | Transfer to A21 | 9.000000 | WITHDRAWAL
2021/05/03 | 17:16:37 | U2 | A21 | Transfer from A12 | 9.000000 | DEPOSIT
2021/05/03 | 23:51:55 | U1 | A11 | Loan Payment | 80.000000 | WITHDRAWAL
2021/05/04 | 00:01:36 | U1 | A11 | Loan Payment | 100.000000 | WITHDRAWAL
