2021-05-04T13:54:20.917329 | TWTR | 10 | 20.000000 | SELL | A14
2021-05-04T13:54:20.917329 | AAPL | 10 | 131.000000 | BUY | A14
2021-05-04T20:12:26.544421 | AAPL | 1 | 127.710000 | BUY | A14
2021-05-04T22:12:22.828032500 | SPYD | 100 | 70.000000 | BUY | A15
2021-05-04T22:28:15.569779 | NEW | 1 | 18.000000 | BUY | A14 
2021-05-04T22:58:23.616841 | TD | 1 | 88.000000 | BUY | A14 
2021-05-04T22:58:24.645301 | TD | 1 | 88.000000 | BUY | A14 
2021-05-04T23:01:05.582411 | TD | 1 | 88.000000 | BUY | A15 
2021-05-04T23:01:06.348409 | TD | 1 | 88.000000 | BUY | A15 
2021-05-04T23:01:06.780029 | TD | 1 | 88.000000 | BUY | A15 
2021-05-04T23:01:07.115910 | TD | 1 | 88.000000 | BUY | A15 
2021-05-04T23:03:43.968925 | DIS | 1 | 99.990000 | BUY | A14 
2021-05-04T23:03:46.285637 | DIS | 1 | 99.990000 | BUY | A14 
