2021/04/27 | 19:41:05 | U1 | A12 | Whole Foods | 125.00 | WITHDRAWAL
2021/04/27 | 19:41:05 | U1 | A12 | Target | 60.00 | WITHDRAWAL
2021/04/27 | 19:41:05 | U1 | A12 | Boston University Payroll | 560.00 | DEPOSIT
2021-05-04 | 13:54:46 | U1 | A12 | Loan Payment | 980.000000 | WITHDRAWAL
2021-05-04 | 13:54:46 | U0 | A01 | Loan Payment from A12 | 980.000000 | DEPOSIT
2021-05-04 | 13:57:00 | U1 | A12 | WITHDRAWAL FEE | 5.000000 | WITHDRAWAL
2021-05-04 | 13:57:00 | U1 | A12 | ATM Withdrawal | 900.000000 | WITHDRAWAL
2021-05-04 | 13:59:14 | U1 | A12 | DEPOSIT FEE | 5.000000 | WITHDRAWAL
2021-05-04 | 13:59:14 | U1 | A12 | ATM Deposit | 1000000.000000 | DEPOSIT
2021-05-04 | 13:59:22 | U1 | A11 | DEPOSIT FEE | 5.000000 | WITHDRAWAL
2021-05-04 | 13:59:22 | U1 | A11 | ATM Deposit | 10000.000000 | DEPOSIT
2021-05-04 | 13:59:27 | U1 | A11 | WITHDRAWAL FEE | 5.000000 | WITHDRAWAL
2021-05-04 | 13:59:27 | U1 | A11 | Transfer to Account A14 | 90.000000 | WITHDRAWAL
2021-05-04 | 13:59:32 | U1 | A11 | WITHDRAWAL FEE | 5.000000 | WITHDRAWAL
2021-05-04 | 13:59:32 | U1 | A11 | Transfer to Account A14 | 1000.000000 | WITHDRAWAL
2021-05-04 | 13:59:32 | U1 | A14 | OPENING FEE | 25.000000 | WITHDRAWAL
2021-05-04 | 13:59:32 | U0 | A01 | OPENING FEE from A14 | 25.000000 | DEPOSIT
2021-05-04 | 16:52:57 | U1 | A11 | WITHDRAWAL FEE | 5.000000 | WITHDRAWAL
2021-05-04 | 16:52:57 | U1 | A11 | Transfer to Account A14 | 122.000000 | WITHDRAWAL
2021-05-04 | 17:50:27 | U1 | A12 | Loan Payment | 8000.000000 | WITHDRAWAL
2021-05-04 | 17:50:27 | U0 | A01 | Loan Payment from A12 | 8000.000000 | DEPOSIT
2021-05-04 | 17:53:27 | U1 | A11 | INTEREST | 3000.000000 | WITHDRAWAL
2021-05-04 | 17:53:27 | U0 | A01 | INTEREST from A11 | 3000.000000 | DEPOSIT
